mfcc_mean,mfcc_std,mfcc_min,mfcc_max,f0_mean,f0_std,f0_min,f0_max,voiced_ratio,energy_mean,energy_std,energy_min,energy_max,num_pauses,pause_duration,pause_ratio,speech_duration,total_duration
"[-373.19455    105.4116     -12.559644    10.670603   -17.276064
   -7.8704925  -13.633325   -11.79331    -11.161956    -5.450538
   -7.97205     -3.060564    -4.270283 ]","[37.088818  30.470806  18.52353   17.733545  10.437469  12.159437
 11.843641  11.6438465  8.707216   6.757664   6.748269   6.8515334
  6.4805465]","[-452.81558      1.9630554  -72.04149    -48.108486   -54.944767
  -41.712257   -43.875015   -43.17947    -35.76943    -21.79925
  -34.653908   -26.899345   -20.474728 ]","[-282.33102   163.06767    38.7623     68.83948    11.173763   16.573833
   12.67169    11.674317   12.151793   15.657157   12.698478   13.044407
   12.849197]",235.59631234296057,23.77138436625393,204.67477839935495,306.66566893392013,0.77491961414791,0.013373355,0.007648637,0.0013398582,0.030428723,0,0.0,0.0,9.938125,9.938125
"[-4.15776642e+02  9.68320694e+01 -7.06138897e+00  4.81329346e+00
 -1.25176773e+01 -2.71617508e+00 -1.31138077e+01 -1.14400625e+01
 -1.21122446e+01 -7.38767862e-01 -5.62633514e+00  7.55470321e-02
 -2.60689914e-01]","[49.968796  41.474834  21.764301  17.806896  15.183898  11.348804
 12.795571  11.07295   10.391209   8.298254   8.514828   7.3368883
  5.6269712]","[-538.4568    -14.208239  -72.28592   -43.259308  -73.13608   -30.9636
  -49.676655  -43.310413  -37.445328  -26.1156    -35.381554  -23.01289
  -23.136488]","[-292.39255   178.12906    43.993835   47.525757   17.316002   26.4089
   13.516453   15.242086   18.458412   27.273708   13.248062   22.892008
   17.0245  ]",248.87199144575234,29.202267831841407,204.67477839935495,324.9009585424942,0.7985257985257985,0.010142057,0.007998127,0.0005834379,0.04474572,3,2.0591874999999984,0.15836020975626158,10.944,13.0031875
"[-289.29514     71.11107     11.878535    12.211808   -14.7177925
  -14.284676    -8.425476   -26.672941   -13.987687   -14.309428
  -16.217169   -13.121181    -8.035485 ]","[115.765114  53.7155    53.948204  34.012817  24.478354  18.925598
  14.934731  18.091667  14.209574  11.862106  10.129455   9.181107
   9.277789]","[-569.6563    -82.86803  -129.02905   -69.52401   -76.82672   -61.649353
  -48.069893  -72.32466   -54.43953   -48.912422  -44.870834  -41.61035
  -32.85509 ]","[-92.58039  195.63547  149.97476  111.26961   42.154083  40.488205
  37.628174  24.09644   22.65763   13.00011   16.75175   11.763651
  17.666603]",223.28120475014342,45.491671381638916,65.9753955386447,409.3495567987099,0.830155979202773,0.05732733,0.037945937,0.00023480732,0.19731908,8,2.453312499999999,0.13294699799832682,16.0,18.4533125
"[-242.6769     78.66634   -21.824955   20.718195  -17.64655   -20.314672
  -34.66096   -14.252885  -26.251669  -14.917339  -15.747207   -7.558876
  -20.001148]","[100.73324   44.419163  30.586845  26.178446  13.323491  21.049326
  18.283178  13.628055  12.863712  12.15021    8.497691   6.998972
   9.506013]","[-543.1275    -67.09204  -134.03552   -33.408546  -73.59323   -74.86794
  -80.09744   -56.149956  -62.013245  -52.26352   -33.18551   -29.945284
  -48.205467]","[ -6.356791   167.56061     67.247665   112.56283     20.597683
  27.725138     0.          18.702618    12.102663    17.634716
  14.505175    15.869835     0.55545986]",164.47516631972482,73.46588612327473,90.64713534281104,400.0,0.33925049309664695,0.07813499,0.08660207,0.0,0.3388056,9,5.472000000000001,0.33750043367140437,10.7413125,16.2133125
"[-223.77168     69.98323      4.589114     7.354862   -29.246647
  -12.920375   -25.590767    -8.686207   -24.345375   -22.039438
   -6.772661     0.2353168  -11.631637 ]","[110.2801     76.0697     45.28794    31.495058   24.499317   15.488784
  15.449483   13.516514   15.441077   12.492115   14.954343   14.743354
  13.7876835]","[-519.18665  -153.92874   -90.166985  -76.27937  -106.15977   -62.543602
  -72.1727    -41.32412   -70.19507   -59.67697   -48.736107  -36.079517
  -49.81323 ]","[-35.24878  217.21191  138.82062   91.878174  39.481995  32.44187
  25.072468  30.567238  16.747635  17.848154  29.86362   43.117306
  29.693752]",220.17584605791387,35.7589186958645,165.29006363084235,384.14917802040173,0.8090909090909091,0.11368771,0.07162975,7.9807214e-05,0.31511417,10,2.144000000000002,0.10157797643547302,18.9629375,21.1069375
"[-240.79016    121.457695     1.5964965    7.9269285  -12.546189
   -1.2287534  -17.466984   -10.255552   -23.767797   -10.452659
  -22.43047     -5.1617765  -11.055503 ]","[74.797615 38.442093 30.374666 23.09526  19.64324  13.937532 10.83508
 10.35793   9.466369  9.198766  8.140196  8.613917  8.366409]","[-648.8502     -2.884548  -77.7848    -50.53488   -87.808624  -51.68902
  -53.94299   -40.097935  -49.05075   -37.592384  -57.67117   -33.248337
  -35.317398]","[-136.33063    211.16437     89.22428     90.870865    36.465057
   41.54558     14.458994    28.314909     5.8534565   20.407103
    1.2373327   21.482666    15.309311 ]",218.70648697736343,37.13976361840712,140.60682916223496,404.647776120769,0.39705882352941174,0.042963922,0.018510476,0.0,0.08921841,0,0.6400000000000006,0.022641492746541335,27.6266875,28.2666875
"[-4.6800021e+02  1.2951805e+02  1.6584843e+01  1.8661039e+01
  2.8436930e+00 -8.1923103e+00 -6.4509850e+00  1.9500129e+00
 -4.3679576e+00  8.5124582e-02 -3.9329276e+00 -6.5046644e+00
 -3.3494219e-01]","[32.51419   23.98842   18.094282  14.358253   9.60473   13.586673
  8.395962   6.8046837  8.166664   5.528882   6.0573936  6.99563
  5.779092 ]","[-584.97906    33.10811   -31.181683  -24.114368  -25.322369  -51.551537
  -29.021248  -16.589935  -27.130627  -14.301725  -20.72803   -30.968704
  -14.357065]","[-388.5724     170.31558     71.91194     56.288605    26.802856
   19.61012     16.297844    21.45905     19.314114    16.277489
   12.977226    14.126379    14.7842865]",219.45150482496567,40.2467081970682,176.1331747192297,368.92647743437567,0.44129554655870445,0.0038401887,0.0016409679,0.0011268143,0.009296145,0,0.0,0.0,7.872,7.872
"[-240.49832    114.26732     -1.7324678    6.146872    -7.8774285
   -3.2320225  -21.337305    -9.45444    -18.568033    -9.836123
  -24.02335     -2.023367   -16.245392 ]","[92.346306  38.90151   24.363256  20.20813   14.264317  11.568305
  8.529901  10.0617895  9.945854   8.66237    8.840841   8.61381
  7.6231246]","[-651.0772      0.        -48.867016  -45.756714  -42.47693   -34.628807
  -49.62027   -39.42447   -44.976532  -34.402542  -49.399605  -21.597805
  -39.266697]","[-127.89856    180.06769     88.83279     51.875343    32.1769
   29.006634     0.          13.889044    14.106766    11.49441
    0.          26.189741     1.5798645]",203.0963484136265,23.66823149681157,167.2106416577019,281.2136583244699,0.22324159021406728,0.038526613,0.018250367,0.0,0.07748798,1,0.4800000000000004,0.046012269938650346,9.952,10.432
"[-259.50864     129.97137      -2.477078      0.44927832   -8.040256
    1.8942312   -18.918446    -11.382378    -20.228811     -8.290423
  -22.503939     -7.458672    -11.89995   ]","[90.72029   40.438633  25.34707   21.623705  16.84594   11.180991
  9.725962   9.755945   9.50335    7.8885818  8.720389   7.4921036
  6.9454412]","[-667.0394      0.        -77.70728   -47.052     -69.19472   -31.059628
  -42.68708   -46.514618  -46.585083  -27.49134   -42.839165  -26.361063
  -27.61995 ]","[-145.68346    201.10681     71.24927     61.74376     24.074398
   31.145851    12.019144    14.411428     4.7529745   12.407539
    7.581426    21.913929    12.132198 ]",217.63552764380086,37.63903502220348,161.5148333600084,310.2289523667469,0.48732394366197185,0.039605178,0.02105179,0.0,0.08336837,0,0.6079999999999988,0.053672316384180685,10.72,11.328
"[-2.4222702e+02  1.2242025e+02 -1.1056658e+00 -3.7582128e+00
 -9.6274605e+00  2.3354901e-01 -1.3199812e+01 -1.2232118e+01
 -1.9379152e+01 -3.5329728e+00 -2.6101557e+01 -1.0128387e+01
 -2.1425116e+00]","[84.29712  42.8094   31.414759 21.78279  16.537912 12.518329  9.529275
  9.72627  10.031387  9.246861  8.949091  8.0028    9.076104]","[-6.4629846e+02 -2.0436913e-01 -6.5482422e+01 -5.9510189e+01
 -5.5283878e+01 -3.3785221e+01 -3.7519001e+01 -4.4443405e+01
 -4.4767868e+01 -2.5549137e+01 -4.8777447e+01 -3.1051838e+01
 -2.1197453e+01]","[-146.1316    206.54126    99.21481    61.078766   30.463926   41.478355
   19.399952   18.765326   11.531843   22.942234    0.          8.382685
   23.3392  ]",213.91605785190967,34.05938440366463,131.19081044374488,315.65165893545657,0.32894736842105265,0.038954172,0.01735476,0.0,0.082500935,0,0.6079999999999988,0.050087787497618566,11.5306875,12.1386875
